2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: produt in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist_catalogue.tpl on line 24
2021-09-11 19:35:09 - PHP Notice:  Undefined variable: error_warning in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist.tpl on line 18
2021-09-11 21:14:57 - PHP Notice:  Undefined variable: error_warning in C:\xampp\htdocs\ltsgroup\lts0128\view\template\catalog\pricelist.tpl on line 18
